Random waveform, supplied seed
Total number of intervals = 90 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616)
Average QPS expected = 51583
Timestamp start: 1715957349212
Timestamp end: 1715958249714

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      376.7   237.2   160.7   218.4   230.8   337.8   408.4   451.3   484.2   525.8   577.1   643.0   786.4  1436.5  7782.7  65737.5    65908
read      386.7   497.9   160.7   221.9   235.7   373.1   435.4   462.8   481.2   501.1   526.1   560.1   638.5  2465.3 29042.4  16770.2    16889
read      385.8   326.9   160.7   214.8   227.6   344.2   424.8   471.4   507.6   548.2   591.9   649.7   786.7  1594.8 12124.6  42962.3    42912
read      363.0   267.7   160.7   220.7   234.9   334.8   389.7   422.4   447.6   478.8   521.2   586.5   729.7  1054.1  8718.1  99886.4    99898
read      388.7   451.8   160.7   214.5   227.6   351.3   440.1   481.4   508.8   537.6   569.8   612.9   703.6  1775.4 28753.6  26374.9    26385
read      382.5   256.7   160.7   214.7   227.8   359.1   441.9   477.8   501.8   527.6   555.8   593.5   686.6  1479.1  9963.6  22572.8    22616

Total QPS = 51591.9 (46432688 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11468873442 bytes :   12.2 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.96%,49.25%,100.00%
