#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      350.9   205.6   160.7   209.6   224.0   322.4   380.3   414.2   438.7   468.3   505.5   564.2   685.8  1530.4  8873.2  30410.7    30405  1715448252929  1715448263051
read      354.5   216.3   160.7   210.4   224.9   324.0   384.1   418.7   443.7   473.2   511.1   571.3   702.8  1672.8  8660.2  30395.1    30410  1715448264559  1715448274674
read      359.3   218.3   148.8   211.5   226.7   329.6   391.0   425.8   451.0   480.3   517.8   576.3   713.0  1671.0  8675.4  30469.7    30415  1715448276182  1715448286301
read      350.2   215.3   160.7   212.5   226.2   320.3   377.6   410.7   434.5   464.1   501.7   556.9   685.2  1786.3  8398.9  30410.0    30420  1715448287809  1715448297925
read      349.1   206.1   160.7   210.2   224.6   319.7   378.8   411.8   435.7   465.0   501.7   555.9   681.8  1434.0  9533.5  30421.3    30425  1715448299432  1715448309570
read      359.9   198.3   148.8   212.3   227.9   331.6   391.5   425.8   450.8   479.9   517.7   577.2   706.3  1839.7  8358.6  30563.8    30430  1715448311080  1715448321199
read      353.0   200.7   160.7   211.5   225.8   325.2   384.2   417.2   440.4   468.5   504.3   558.4   693.0  1701.9  8114.3  30360.2    30435  1715448322707  1715448332824
read      359.0   226.8   160.7   210.6   225.8   329.2   390.6   424.7   449.5   478.4   515.8   575.1   717.6  1599.3  8900.7  30371.7    30440  1715448334333  1715448344446
read      342.3   217.6   148.8   210.2   223.9   314.6   368.5   399.5   422.8   450.2   485.8   539.2   652.6  1636.6 10120.0  30451.7    30445  1715448345953  1715448356080
read      357.3   241.5   148.8   210.2   225.1   328.0   390.0   424.7   449.6   478.3   515.3   573.9   714.7  1647.4  7935.2  30457.3    30450  1715448357587  1715448367705
read      364.2   220.6   148.8   211.4   227.2   335.6   397.8   432.1   457.2   486.1   522.9   582.2   725.0  1677.0  8430.1  30403.4    30455  1715448369214  1715448379331
read      353.5   220.8   160.7   209.5   224.3   323.4   383.1   416.4   440.3   469.5   506.7   566.9   701.1  2022.4  8132.9  30414.7    30460  1715448380840  1715448390960
read      362.1   341.2   148.8   207.9   222.6   322.3   380.2   413.2   436.8   466.2   503.4   564.9   768.6  6488.2 12230.3  30480.1    30465  1715448392466  1715448402598
read      354.1   326.7   148.8   208.1   222.5   320.4   379.1   412.3   436.1   465.2   501.7   557.8   693.0  2970.2 15526.3  30493.0    30470  1715448404107  1715448414231
read      375.6   233.4   148.8   209.8   226.1   343.5   408.9   445.6   471.0   503.3   545.5   621.6   817.6  2081.8  9162.3  30470.9    30475  1715448415740  1715448425859
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
