Random waveform, supplied seed
Total number of intervals = 150 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682)
Average QPS expected = 50033
Timestamp start: 1715964404597
Timestamp end: 1715965305129

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      396.1   320.0   173.5   217.0   228.9   348.3   433.4   486.1   523.2   563.2   607.9   670.0   882.6  2594.9 11408.4  34954.8    34929
read      389.7   306.4   160.7   220.3   232.7   337.4   406.1   450.2   485.4   529.3   586.1   674.1  1131.4  2502.2 10646.3  69746.2    69735
read      490.8   381.5   160.7   223.9   239.0   432.0   543.6   616.8   676.8   743.1   818.8   920.5  1118.2  4284.8 12723.5  20670.2    20753
read      450.9   407.6   160.7   220.7   234.4   356.9   421.8   462.6   498.2   548.1   635.4  1379.9  1880.4  2986.7 11007.3  84672.5    84642
read      380.6   254.8   160.7   213.6   225.8   336.0   413.9   463.5   502.1   545.6   594.2   653.6   825.2  1719.5  7784.6  42349.8    42333
read      371.7   260.9   160.7   215.4   227.0   326.3   394.6   437.2   471.9   517.4   573.8   644.4   839.1  1885.2  8049.6  61733.2    61587
read      365.0   239.9   173.5   216.5   228.1   322.6   384.9   423.2   453.8   493.3   546.9   625.0   843.1  1983.2  8057.1  77869.5    77998
read      365.0   262.0   160.7   219.8   232.0   327.3   382.3   415.2   440.7   473.8   520.6   593.6   854.0  2384.7 10711.6  97492.3    97625
read      440.6   428.1   173.5   219.3   231.7   378.1   476.8   527.1   562.8   610.6   693.4   839.2  1088.5  5672.0 14793.6  23738.7    23781
read      374.3   215.4   160.7   216.5   228.2   329.4   397.2   439.0   472.4   515.9   573.6   650.0   893.9  2040.0  7482.6  66762.0    66723
